Calling Party,Called Party,IMEI,IMSI,Call Date,Call Type,Start Time,End Time,Duration (seconds)
8437530961,8949848321,026072130795657,372794333318328,2025-01-31,SMS Out,03:47:20,N/A,0
8437530961,8949848321,026072130795657,372794333318328,2025-01-10,Voice Out,10:58:12,12:09:39,4287
8437530961,9885654775,026072130795657,372794333318328,2025-01-10,Voice Out,05:46:40,07:27:01,6021
8437530961,9577934370,026072130795657,372794333318328,2025-02-10,Voice Out,20:33:49,22:12:34,5925
8437530961,9577934370,026072130795657,372794333318328,2025-01-07,SMS In,22:52:58,N/A,0
8437530961,9577934370,026072130795657,372794333318328,2025-01-01,SMS Out,05:20:42,N/A,0
8437530961,9845320976,026072130795657,372794333318328,2025-01-22,SMS Out,16:30:42,N/A,0
8437530961,8949848321,026072130795657,372794333318328,2025-02-04,Data Call,23:22:20,00:24:49,3749
8437530961,9845320976,026072130795657,372794333318328,2025-01-03,Data Call,00:23:41,01:20:50,3429
8437530961,7194775890,026072130795657,372794333318328,2025-02-06,Voice In,13:39:46,14:06:10,1584
8437530961,8949848321,026072130795657,372794333318328,2025-01-19,SMS In,15:39:07,N/A,0
8437530961,8467621967,026072130795657,372794333318328,2025-02-04,SMS In,11:31:05,N/A,0
8437530961,9845320976,026072130795657,372794333318328,2025-01-06,SMS In,17:01:37,N/A,0
8437530961,8467621967,026072130795657,372794333318328,2025-01-02,Voice Out,08:00:22,08:44:43,2661
8437530961,8949848321,026072130795657,372794333318328,2025-01-16,Missed Call,01:22:17,N/A,0
8437530961,7194775890,026072130795657,372794333318328,2025-01-23,SMS In,02:37:31,N/A,0
8437530961,8949848321,026072130795657,372794333318328,2025-01-11,SMS Out,23:39:19,N/A,0
8437530961,8539292285,026072130795657,372794333318328,2025-01-19,Voice In,18:57:56,20:19:48,4912
8437530961,8939367105,026072130795657,372794333318328,2025-01-17,Voice Out,01:55:11,03:44:45,6574
8437530961,9845320976,026072130795657,372794333318328,2025-01-26,Data Call,09:32:44,10:28:39,3355
8437530961,8939367105,026072130795657,372794333318328,2025-01-29,Voice In,23:59:15,01:21:44,4949
8437530961,8539292285,026072130795657,372794333318328,2025-01-28,Voice In,02:47:59,03:39:52,3113
8437530961,9845320976,026072130795657,372794333318328,2025-01-20,Voice Out,13:27:58,13:36:31,513
8939367105,9047513460,099377149483856,544252218590552,2025-02-07,Voice In,01:55:35,03:01:51,3976
8939367105,9577934370,099377149483856,544252218590552,2025-01-22,Missed Call,14:45:49,N/A,0
8939367105,9577934370,099377149483856,544252218590552,2025-01-29,SMS In,02:10:03,N/A,0
8939367105,9577934370,099377149483856,544252218590552,2025-01-19,Data Call,04:02:38,04:07:55,317
8939367105,9845320976,099377149483856,544252218590552,2025-01-10,Voice Out,10:06:32,12:00:13,6821
8939367105,7194775890,099377149483856,544252218590552,2025-01-04,Voice Out,23:24:43,23:59:24,2081
8939367105,8539292285,099377149483856,544252218590552,2025-01-29,Data Call,10:43:52,12:00:15,4583
8939367105,7194775890,099377149483856,544252218590552,2025-02-10,SMS Out,13:16:08,N/A,0
8939367105,9577934370,099377149483856,544252218590552,2025-01-31,SMS In,08:28:55,N/A,0
8939367105,8437530961,099377149483856,544252218590552,2025-01-15,Missed Call,22:54:59,N/A,0
8939367105,9885654775,099377149483856,544252218590552,2025-02-09,Data Call,06:39:01,06:41:27,146
8939367105,8539292285,099377149483856,544252218590552,2025-01-09,Voice In,05:36:28,06:03:20,1612
8939367105,9885654775,099377149483856,544252218590552,2025-02-08,SMS Out,09:15:00,N/A,0
8939367105,8467621967,099377149483856,544252218590552,2025-02-10,Missed Call,08:10:43,N/A,0
8939367105,8437530961,099377149483856,544252218590552,2025-02-04,SMS Out,10:05:31,N/A,0
8939367105,8539292285,099377149483856,544252218590552,2025-02-09,Voice In,17:19:59,18:17:17,3438
8939367105,9845320976,099377149483856,544252218590552,2025-02-02,Voice Out,15:00:22,16:29:37,5355
8939367105,8467621967,099377149483856,544252218590552,2025-01-21,Missed Call,09:32:57,N/A,0
8939367105,9885654775,099377149483856,544252218590552,2025-02-01,SMS Out,12:26:48,N/A,0
8939367105,8949848321,099377149483856,544252218590552,2025-01-06,Voice In,22:14:49,23:27:37,4368
8939367105,8539292285,099377149483856,544252218590552,2025-02-03,SMS In,02:39:23,N/A,0
8939367105,8539292285,099377149483856,544252218590552,2025-01-13,Voice In,21:31:16,21:41:18,602
8949848321,8539292285,368240206405116,183825990242354,2025-01-22,Data Call,12:09:31,13:14:10,3879
8949848321,8539292285,368240206405116,183825990242354,2025-01-05,Voice In,03:58:07,05:15:35,4648
8949848321,9577934370,368240206405116,183825990242354,2025-01-16,Missed Call,02:21:28,N/A,0
8949848321,9845320976,368240206405116,183825990242354,2025-01-23,SMS Out,12:54:20,N/A,0
8949848321,9845320976,368240206405116,183825990242354,2025-01-27,SMS Out,04:30:24,N/A,0
8949848321,9885654775,368240206405116,183825990242354,2025-01-17,SMS Out,17:11:17,N/A,0
8949848321,8437530961,368240206405116,183825990242354,2025-01-17,Data Call,15:41:19,17:20:17,5938
8949848321,8539292285,368240206405116,183825990242354,2025-02-01,Missed Call,02:35:07,N/A,0
8949848321,8467621967,368240206405116,183825990242354,2025-01-15,Data Call,22:07:13,22:44:57,2264
8949848321,8467621967,368240206405116,183825990242354,2025-02-11,Data Call,20:18:20,20:55:14,2214
8949848321,9047513460,368240206405116,183825990242354,2025-01-19,SMS Out,00:27:20,N/A,0
8949848321,9845320976,368240206405116,183825990242354,2025-02-03,SMS In,16:25:07,N/A,0
8949848321,8437530961,368240206405116,183825990242354,2025-01-20,Data Call,14:57:50,16:03:20,3930
8949848321,8467621967,368240206405116,183825990242354,2025-01-26,Voice Out,19:42:07,19:49:06,419
8949848321,9885654775,368240206405116,183825990242354,2025-01-21,Data Call,03:26:21,04:15:43,2962
8949848321,7194775890,368240206405116,183825990242354,2025-01-14,Missed Call,21:33:14,N/A,0
8949848321,9885654775,368240206405116,183825990242354,2025-01-12,Data Call,09:57:52,11:47:46,6594
8949848321,9047513460,368240206405116,183825990242354,2025-01-27,SMS In,16:59:31,N/A,0
8949848321,8437530961,368240206405116,183825990242354,2025-01-13,SMS Out,08:16:33,N/A,0
8949848321,7194775890,368240206405116,183825990242354,2025-01-16,Data Call,00:48:09,01:06:33,1104
8949848321,8939367105,368240206405116,183825990242354,2025-01-27,Data Call,22:08:22,23:27:37,4755
9845320976,9047513460,848251438835205,028403327234528,2025-01-16,Data Call,00:15:06,00:28:40,814
