Calling Party,Called Party,IMEI,IMSI,Call Date,Call Type,Start Time,End Time,Duration (seconds)
8112566580,9896797212,394019341992505,707118849024674,2025-02-01,SMS In,11:53:16,N/A,0
8112566580,7407955443,394019341992505,707118849024674,2025-01-15,SMS In,03:07:50,N/A,0
8112566580,8796746448,394019341992505,707118849024674,2025-01-18,Voice In,17:26:35,18:16:40,3005
8112566580,8796746448,394019341992505,707118849024674,2025-01-08,Voice In,23:44:04,00:33:27,2963
8112566580,7407955443,394019341992505,707118849024674,2025-02-04,Voice In,05:14:32,07:05:44,6672
8112566580,9896797212,394019341992505,707118849024674,2025-01-31,SMS Out,03:58:20,N/A,0
8112566580,7327255014,394019341992505,707118849024674,2025-02-07,SMS In,12:04:14,N/A,0
8112566580,9947802318,394019341992505,707118849024674,2025-01-12,SMS Out,13:02:16,N/A,0
8112566580,7407955443,394019341992505,707118849024674,2025-01-21,Data Call,15:09:41,15:35:38,1557
8112566580,9947802318,394019341992505,707118849024674,2025-01-23,Voice In,21:59:58,23:27:05,5227
8112566580,7407955443,394019341992505,707118849024674,2025-01-11,SMS Out,00:25:51,N/A,0
8112566580,8796746448,394019341992505,707118849024674,2025-02-04,Missed Call,07:36:39,N/A,0
8112566580,8796746448,394019341992505,707118849024674,2025-01-03,Voice Out,22:10:28,22:31:55,1287
8112566580,7410961535,394019341992505,707118849024674,2025-01-04,Voice Out,01:56:12,02:45:15,2943
8112566580,7267821746,394019341992505,707118849024674,2025-01-28,Voice In,21:35:22,21:58:32,1390
8112566580,7612342985,394019341992505,707118849024674,2025-01-13,Missed Call,17:17:23,N/A,0
8112566580,7612342985,394019341992505,707118849024674,2025-01-18,Data Call,05:31:57,06:30:59,3542
8112566580,8796746448,394019341992505,707118849024674,2025-02-07,SMS In,10:10:24,N/A,0
8112566580,9947802318,394019341992505,707118849024674,2025-01-02,SMS Out,06:47:46,N/A,0
8112566580,9896797212,394019341992505,707118849024674,2025-01-08,Voice In,19:03:12,19:43:28,2416
8112566580,7327255014,394019341992505,707118849024674,2025-02-06,Voice In,23:34:15,00:46:56,4361
8112566580,7327255014,394019341992505,707118849024674,2025-01-30,Voice In,18:49:12,20:00:17,4265
8112566580,7407955443,394019341992505,707118849024674,2025-01-10,Missed Call,13:04:09,N/A,0
8112566580,7267821746,394019341992505,707118849024674,2025-01-03,Voice In,17:34:13,18:24:56,3043
8112566580,7612342985,394019341992505,707118849024674,2025-01-06,Voice In,01:30:30,02:04:56,2066
8112566580,9896797212,394019341992505,707118849024674,2025-01-02,Missed Call,20:03:25,N/A,0
9896797212,8112566580,473767356135122,590183047811055,2025-01-19,SMS Out,05:50:20,N/A,0
8796746448,7407955443,187298635094223,302081023232297,2025-01-08,Voice In,06:51:21,08:32:28,6067
