Calling Party,Called Party,IMEI,IMSI,Call Date,Call Type,Start Time,End Time,Duration (seconds)
7806566906,7138293654,062562145495284,718316146034816,2024-08-13,SMS In,06:25:50,N/A,0
8581916045,8366256065,056867908299113,137911514839499,2024-05-07,SMS In,23:11:17,N/A,0
8546153259,7028705640,230776734184963,700140413585133,2024-10-25,Voice In,00:57:08,02:16:59,4791
7982574554,8754470786,135125722662329,161145201063753,2024-11-26,SMS In,23:11:24,N/A,0
7028705640,8566239944,253463756543498,005803058135918,2024-10-11,Voice In,18:44:51,19:21:41,2210
9242792393,7716701810,407864753185744,599135533055726,2024-01-29,Voice In,07:08:43,08:13:47,3904
9514458697,9469770332,715218814171333,024472683020566,2024-05-24,Voice Out,13:24:51,14:50:10,5119
9900284751,7045493330,408866507212774,357635519969195,2024-04-18,SMS Out,04:52:58,N/A,0
8334673086,7781243798,583027812159898,798239532595296,2024-06-29,SMS In,16:38:04,N/A,0
7640598641,7045493330,294887372039913,608507055839403,2024-06-14,SMS Out,12:57:35,N/A,0
7939465365,7609902824,352358327788419,108100035754906,2024-11-07,Voice In,01:50:14,03:17:53,5259
8684364166,8098153439,222947218612360,885269053545031,2024-04-21,SMS Out,22:40:17,N/A,0
7348070948,8581916045,849207618190597,297755693320985,2024-05-17,SMS In,01:47:16,N/A,0
8227392916,8581916045,937178121815496,385630268238037,2024-11-30,SMS Out,14:08:44,N/A,0
8158925965,7609902824,963168385418603,123062308069895,2024-02-04,SMS In,06:22:09,N/A,0
8098153439,7806566906,620452091541038,904378769763320,2024-05-04,Voice In,21:52:23,00:38:42,9979
8532263127,8158925965,572009376387329,949461410385002,2024-12-12,Voice In,04:41:25,04:52:23,658
7982574554,7348070948,135125722662329,161145201063753,2024-06-13,SMS In,16:57:48,N/A,0
8546153259,9514458697,230776734184963,700140413585133,2024-09-02,Voice Out,18:52:46,19:21:10,1704
8298280128,7958574881,107716786163848,080756900262526,2024-03-16,SMS In,08:23:34,N/A,0
7168269389,7031600359,117538551127772,151106063048823,2024-03-03,SMS In,17:16:04,N/A,0
8334673086,7045493330,583027812159898,798239532595296,2024-10-12,Voice In,11:05:14,13:51:29,9975
8366256065,7871757573,064022071770182,064446978312372,2024-02-12,SMS In,12:10:00,N/A,0
9455651921,8566239944,031787059778317,112107182783448,2024-06-06,Voice Out,08:32:28,09:19:32,2824
9716047486,9469770332,401271742616740,157493413098770,2024-03-22,Voice In,23:24:41,01:01:11,5790
