Calling Party,Called Party,IMEI,IMSI,Call Date,Call Type,Start Time,End Time,Duration (seconds),,,,,,
7003643761,9621795815,2.96E+14,5.78E+13,02/02/25,SMS In,11:33:52,N/A,0,,,,,,
7003643761,7524188286,2.96E+14,5.78E+13,28/01/25,Voice Out,13:36:53,16:06:27,8974,,,,,,
7003643761,9621795815,2.96E+14,5.78E+13,25/01/25,Voice In,17:13:16,18:43:01,5385,,,,,,
7003643761,9170582761,2.96E+14,5.78E+13,25/01/25,SMS In,23:17:14,N/A,0,,,,,,
7003643761,9574717177,2.96E+14,5.78E+13,01/02/25,Voice Out,23:05:58,01:46:31,9633,,,,,,
7003643761,9093126709,2.96E+14,5.78E+13,01/01/25,Voice Out,21:18:27,23:05:11,6404,,,,,,
7003643761,9621795815,2.96E+14,5.78E+13,25/01/25,Voice Out,03:05:09,03:09:07,238,,,,,,
7003643761,9574717177,2.96E+14,5.78E+13,18/01/25,Voice In,20:29:51,23:23:01,10390,,,,,,
9574717177,7948474292,8.99E+14,9.69E+14,25/01/25,Voice In,17:13:16,18:43:01,5385,,,,,,
7003643761,9093126709,2.96E+14,5.78E+13,03/01/25,Voice In,11:09:57,12:28:32,4715,,,,,,
9170582761,7282050919,1.16E+14,4.89E+14,07/01/25,Data Call,22:17:49,00:56:14,9505,,,,,,
9170582761,9093126709,1.16E+14,4.89E+14,22/01/25,Voice In,15:37:59,18:05:51,8872,,,,,,
9170582761,9093126709,1.16E+14,4.89E+14,07/01/25,Missed Call,23:58:10,N/A,0,,,,,,
9170582761,9093126709,1.16E+14,4.89E+14,26/01/25,Voice In,12:30:26,13:01:23,1857,,,,,,
9170582761,7948474292,1.16E+14,4.89E+14,04/01/25,Voice In,22:56:22,00:34:56,5914,,,,,,
7948474292,9621795815,5.43E+14,6.68E+14,19/01/25,Missed Call,01:01:22,N/A,0,,,,,,
7948474292,9574717177,5.43E+14,6.68E+14,03/01/25,Missed Call,13:41:25,N/A,0,,,,,,
7948474292,7524188286,5.43E+14,6.68E+14,14/01/25,SMS Out,04:53:50,N/A,0,,,,,,
7948474292,9170582761,5.43E+14,6.68E+14,15/01/25,Voice Out,11:20:42,12:50:11,5369,,,,,,
7948474292,7524188286,5.43E+14,6.68E+14,27/01/25,SMS Out,07:49:52,N/A,0,,,,,,
7948474292,7282050919,5.43E+14,6.68E+14,25/01/25,SMS Out,20:20:11,N/A,0,,,,,,
7948474292,7282050919,5.43E+14,6.68E+14,27/01/25,SMS In,12:25:20,N/A,0,,,,,,
7524188286,9574717177,2.43E+14,7.44E+14,06/02/25,Voice Out,03:41:46,05:10:42,5336,,,,,,
7524188286,9574717177,2.43E+14,7.44E+14,18/01/25,Missed Call,14:13:33,N/A,0,,,,,,
7524188286,9093126709,2.43E+14,7.44E+14,14/01/25,Missed Call,06:21:23,N/A,0,,,,,,
7524188286,7282050919,2.43E+14,7.44E+14,08/01/25,SMS In,12:02:14,N/A,0,,,,,,
7524188286,7282050919,2.43E+14,7.44E+14,05/01/25,SMS In,04:50:26,N/A,0,,,,,,
7524188286,9170582761,2.43E+14,7.44E+14,10/01/25,Voice In,14:30:38,15:01:17,1839,,,,,,
7524188286,9093126709,2.43E+14,7.44E+14,28/01/25,SMS In,03:09:30,N/A,0,,,,,,
9621795815,7524188286,3.98E+14,1.94E+14,26/01/25,Voice In,23:39:25,01:14:05,5680,,,,,,
9621795815,9170582761,3.98E+14,1.94E+14,09/01/25,SMS Out,14:49:20,N/A,0,,,,,,
9621795815,9574717177,3.98E+14,1.94E+14,13/01/25,Voice In,00:53:11,02:08:00,4489,,,,,,
9621795815,7524188286,3.98E+14,1.94E+14,16/01/25,SMS In,19:23:50,N/A,0,,,,,,
9621795815,9093126709,3.98E+14,1.94E+14,20/01/25,Data Call,01:46:37,02:02:14,937,,,,,,
9621795815,7948474292,3.98E+14,1.94E+14,24/01/25,Voice Out,06:39:56,09:29:10,10154,,,,,,
9621795815,7948474292,3.98E+14,1.94E+14,14/01/25,Voice Out,21:49:41,00:40:12,10231,,,,,,
9621795815,7524188286,3.98E+14,1.94E+14,04/02/25,Voice Out,22:04:21,22:22:18,1077,,,,,,
9621795815,7524188286,3.98E+14,1.94E+14,05/02/25,Voice Out,03:22:35,04:21:49,3554,,,,,6.37E+14,2.28E+14
9621795815,9170582761,3.98E+14,1.94E+14,08/01/25,Voice In,20:22:03,20:37:46,943,,,,,,
9574717177,7282050919,8.99E+14,9.69E+14,21/01/25,SMS In,10:45:30,N/A,0,,,,,,
9574717177,9621795815,8.99E+14,9.69E+14,03/01/25,Data Call,23:04:58,01:19:21,8063,,,,,,
9574717177,7948474292,8.99E+14,9.69E+14,02/02/25,Missed Call,19:47:12,N/A,0,,,,,,
9574717177,9093126709,8.99E+14,9.69E+14,31/01/25,SMS Out,07:10:36,N/A,0,,,,,,
9574717177,7948474292,8.99E+14,9.69E+14,05/02/25,SMS In,09:26:03,N/A,0,,,,,,
9574717177,7282050919,8.99E+14,9.69E+14,05/02/25,Voice Out,12:46:40,14:48:41,7321,,,,,,
9574717177,9093126709,8.99E+14,9.69E+14,25/01/25,Voice Out,10:01:49,12:20:57,8348,,,,,,
9574717177,7948474292,8.99E+14,9.69E+14,07/01/25,SMS Out,21:48:06,N/A,0,,,,,,
9574717177,7948474292,8.99E+14,9.69E+14,01/01/25,Data Call,03:18:39,04:07:15,2916,,,,,,
7282050919,9574717177,6.37E+14,2.28E+14,16/01/25,Data Call,07:10:51,07:44:44,2033,,,,,,
7282050919,7948474292,6.37E+14,2.28E+14,19/01/25,Missed Call,05:44:47,N/A,0,,,,,,
7282050919,9170582761,6.37E+14,2.28E+14,28/01/25,Voice In,02:53:05,03:08:16,911,,,,,,
7282050919,7003643761,6.37E+14,2.28E+14,01/02/25,SMS Out,06:42:46,N/A,0,,,,,,
7282050919,9093126709,6.37E+14,2.28E+14,02/02/25,SMS In,14:19:03,N/A,0,,,,,,
9093126709,9574717177,9.05E+14,4.63E+14,18/01/25,Voice Out,14:05:37,14:27:40,1323,,,,,,
9093126709,7948474292,9.05E+14,4.63E+14,18/01/25,Missed Call,21:06:26,N/A,0,,,,,,
9093126709,7282050919,9.05E+14,4.63E+14,24/01/25,SMS In,14:12:43,N/A,0,,,,,,
9093126709,9170582761,9.05E+14,4.63E+14,19/01/25,Missed Call,05:14:34,N/A,0,,,,,,
9093126709,7524188286,9.05E+14,4.63E+14,04/02/25,SMS Out,01:32:53,N/A,0,,,,,,
9093126709,7282050919,9.05E+14,4.63E+14,07/01/25,SMS In,23:09:12,N/A,0,,,,,,
9093126709,9621795815,9.05E+14,4.63E+14,31/01/25,Voice In,00:30:28,02:37:50,7642,,,,,,
7003643761,9545318164,2.96E+14,5.78E+13,07/01/25,Voice Out,13:48:52,13:53:42,290,,,,,,
7003643761,7613239921,2.96E+14,5.78E+13,08/01/25,SMS In,08:05:35,N/A,0,,,,,,
9170582761,7702901664,1.16E+14,4.89E+14,14/01/25,Data Call,06:48:47,09:23:32,9285,,,,,,
7948474292,7822841933,5.43E+14,6.68E+14,11/01/25,SMS In,22:20:33,N/A,0,,,,,,
7524188286,7190807649,2.43E+14,7.44E+14,26/01/25,Data Call,03:07:40,03:30:29,1369,,,,,,
7524188286,7467304748,2.43E+14,7.44E+14,01/01/25,SMS Out,16:04:29,N/A,0,,,,,,
7524188286,7179050244,2.43E+14,7.44E+14,04/02/25,SMS In,15:17:57,N/A,0,,,,,,
9621795815,8658881610,3.98E+14,1.94E+14,15/01/25,Missed Call,10:02:32,N/A,0,,,,,,
9621795815,9822634374,3.98E+14,1.94E+14,01/01/25,Data Call,09:15:40,11:57:07,9687,,,,,,
9574717177,7935808152,8.99E+14,9.69E+14,05/01/25,SMS Out,19:01:56,N/A,0,,,,,,
