Calling Party,Called Party,IMEI,IMSI,Call Date,Call Type,Start Time,End Time,Duration (seconds)
7111038320,8425678096,417168274394667,346711755398997,2025-01-04,Voice Out,16:41:34,17:01:42,1208
7111038320,9215567054,417168274394667,346711755398997,2025-01-24,SMS In,17:18:06,N/A,0
7111038320,8425678096,417168274394667,346711755398997,2025-02-11,Voice In,03:07:24,04:23:56,4592
7111038320,9215567054,417168274394667,346711755398997,2025-02-05,SMS In,16:59:33,N/A,0
7111038320,8425678096,417168274394667,346711755398997,2025-01-13,Missed Call,23:03:24,N/A,0
7111038320,9215567054,417168274394667,346711755398997,2025-01-08,Missed Call,10:27:24,N/A,0
7111038320,8425678096,417168274394667,346711755398997,2025-02-07,Voice Out,12:29:01,13:52:54,5033
7111038320,8299137241,417168274394667,346711755398997,2025-01-24,SMS In,14:34:39,N/A,0
7111038320,7829462315,417168274394667,346711755398997,2025-01-09,Voice In,16:45:25,18:07:36,4931
7111038320,8299137241,417168274394667,346711755398997,2025-01-26,Data Call,12:35:58,12:51:12,914
7111038320,8706197170,417168274394667,346711755398997,2025-01-20,Data Call,21:50:49,23:43:01,6732
7111038320,7662575457,417168274394667,346711755398997,2025-01-02,Data Call,16:12:55,17:13:42,3647
7111038320,8299137241,417168274394667,346711755398997,2025-01-12,Data Call,03:38:51,03:49:09,618
7111038320,8756125278,417168274394667,346711755398997,2025-01-07,Data Call,07:52:54,09:15:11,4937
7111038320,8756125278,417168274394667,346711755398997,2025-01-20,Missed Call,02:22:26,N/A,0
7111038320,9096294077,417168274394667,346711755398997,2025-01-02,Voice In,19:09:00,19:46:31,2251
7111038320,7662575457,417168274394667,346711755398997,2025-01-10,SMS Out,18:45:27,N/A,0
7111038320,9096294077,417168274394667,346711755398997,2025-01-10,Data Call,01:22:33,01:33:04,631
7111038320,8299137241,417168274394667,346711755398997,2025-01-03,Voice Out,08:05:45,08:19:20,815
7111038320,7829462315,417168274394667,346711755398997,2025-02-05,Voice Out,18:22:30,20:08:44,6374
7111038320,8425678096,417168274394667,346711755398997,2025-01-02,SMS In,03:09:40,N/A,0
7111038320,8425678096,417168274394667,346711755398997,2025-01-26,Data Call,20:26:34,21:58:28,5514
7111038320,7662575457,417168274394667,346711755398997,2025-01-09,Data Call,07:40:48,08:04:52,1444
9215567054,8425678096,046735406874710,958688773167753,2025-01-23,Voice In,21:14:21,21:17:22,181
9215567054,7662575457,046735406874710,958688773167753,2025-02-10,Voice Out,02:04:06,02:44:40,2434
9215567054,7662575457,046735406874710,958688773167753,2025-01-25,Data Call,11:50:34,13:41:44,6670
9215567054,7111038320,046735406874710,958688773167753,2025-01-04,Missed Call,01:48:50,N/A,0
9215567054,9251433071,046735406874710,958688773167753,2025-02-08,Voice Out,07:44:46,08:20:13,2127
9215567054,9251433071,046735406874710,958688773167753,2025-01-15,Voice Out,16:57:41,18:41:24,6223
9215567054,8425678096,046735406874710,958688773167753,2025-01-29,Missed Call,12:11:55,N/A,0
9215567054,8756125278,046735406874710,958688773167753,2025-01-05,SMS Out,07:52:05,N/A,0
9215567054,7662575457,046735406874710,958688773167753,2025-01-05,Voice Out,10:16:44,11:39:00,4936
9215567054,9251433071,046735406874710,958688773167753,2025-01-07,Missed Call,22:40:13,N/A,0
9215567054,8756125278,046735406874710,958688773167753,2025-01-23,SMS Out,03:28:25,N/A,0
9215567054,7829462315,046735406874710,958688773167753,2025-02-09,Voice Out,05:33:59,07:16:00,6121
9215567054,8299137241,046735406874710,958688773167753,2025-02-01,Missed Call,17:40:01,N/A,0
9215567054,9251433071,046735406874710,958688773167753,2025-01-16,SMS Out,21:56:16,N/A,0
9215567054,9096294077,046735406874710,958688773167753,2025-02-10,Missed Call,11:26:05,N/A,0
9215567054,8425678096,046735406874710,958688773167753,2025-02-05,Voice Out,22:37:36,22:56:14,1118
9215567054,7111038320,046735406874710,958688773167753,2025-01-12,SMS In,12:09:17,N/A,0
9215567054,7662575457,046735406874710,958688773167753,2025-01-06,SMS In,21:10:31,N/A,0
9215567054,7829462315,046735406874710,958688773167753,2025-01-25,Missed Call,08:39:08,N/A,0
9215567054,7829462315,046735406874710,958688773167753,2025-02-03,SMS Out,15:45:52,N/A,0
8299137241,9215567054,090798557615740,651420100264395,2025-01-02,Missed Call,01:56:52,N/A,0
8299137241,8706197170,090798557615740,651420100264395,2025-01-13,SMS In,12:28:15,N/A,0
